stage,strategy,seed,min_v_top,max_v_top,lambda_max_H,lambda_max_S_min,lambda_max_S_mean,lambda_max_S_max,lambda_max_S_std,baseline_spread,agent_spread,reduction
v_top,,7,0.12324466348957269,0.12722526610050408,,,,,,,,
v_top,,13,0.12335428310934099,0.1269058871041847,,,,,,,,
v_top,,31,0.12324553781438702,0.12749732950908302,,,,,,,,
lambda_max,,7,,,6.907366394528962,7.254551324291214,7.9774803309836795,8.994261902981894,0.30478148009359196,,,
lambda_max,,13,,,6.906158787143603,7.367216359174597,7.9800118665767386,9.350694855613558,0.30046996044314644,,,
lambda_max,,31,,,6.907399233571773,7.24532515199194,8.001993788835357,9.12824286048463,0.3079588029987099,,,
strategy,diag(H⁻¹),7,,,,,,,,12.424756242726687,12.402082934983705,1.0018281854638325
strategy,diag(H⁻¹),13,,,,,,,,12.183879814935365,12.140261728269556,1.0035928456603402
strategy,diag(H⁻¹),31,,,,,,,,12.237203346187064,12.236279912162923,1.0000754668927787
strategy,Jacobi 1/diag(H),7,,,,,,,,12.424756242726687,12.410624254346134,1.001138700849444
strategy,Jacobi 1/diag(H),13,,,,,,,,12.183879814935365,12.178624418479686,1.0004315262771142
strategy,Jacobi 1/diag(H),31,,,,,,,,12.237203346187064,12.23751710570577,0.9999743608514705
strategy,Bottom eigenvector suppression,7,,,,,,,,12.424756242726687,12.424756242726687,1.0
strategy,Bottom eigenvector suppression,13,,,,,,,,12.183879814935365,17.914711023480372,0.6801047362118346
strategy,Bottom eigenvector suppression,31,,,,,,,,12.237203346187064,12.237203346187064,1.0
strategy,Top eigenvector penalisation,7,,,,,,,,12.424756242726687,12.425214039369008,0.9999631558345096
strategy,Top eigenvector penalisation,13,,,,,,,,12.183879814935365,12.213511582613418,0.9975738535573803
strategy,Top eigenvector penalisation,31,,,,,,,,12.237203346187064,12.20987679469042,1.002238069388917
strategy,Numerical gradient descent on spread,7,,,,,,,,12.424756242726687,12.10965303455437,1.026020828777933
strategy,Numerical gradient descent on spread,13,,,,,,,,12.183879814935365,11.837988581396258,1.0292187503950363
strategy,Numerical gradient descent on spread,31,,,,,,,,12.237203346187064,12.052580051927327,1.0153181554044284
strategy,Intermediate-point Hessian,7,,,,,,,,12.424756242726687,12.397527627945259,1.0021962939384828
strategy,Intermediate-point Hessian,13,,,,,,,,12.183879814935365,12.135656888838046,1.0039736560236532
strategy,Intermediate-point Hessian,31,,,,,,,,12.237203346187064,12.23753972940361,0.9999725121859472
strategy,Black-box coordinate search,7,,,,,,,,12.424756242726687,12.323521147183271,1.0082147865317337
strategy,Black-box coordinate search,13,,,,,,,,12.183879814935365,12.029151514611454,1.0128627775729624
strategy,Black-box coordinate search,31,,,,,,,,12.237203346187064,12.210264623517771,1.0022062357778394
